OBJECTID,OSP_ID,FACILITY_NAME,STREET_ADDRESS,LOCATION,PHONE,PM_DISTRICT_ID,AREA_TYPE,BLOCKFACE_ID,STREET_SEG_CTRLN_ID,FACILITY_TYPE,OWNER,SENSOR_FLAG,METER_FLAG,DATA_FEED_FLAG,SERVICES,WEB_SITE,VEH_ENTRY_LANES,MC_ENTRY_LANES,VEH_EXIT_LANES,MC_EXIT_LANES,SYSTEM,HI_VOL_DISC_FLAG,VALIDATION_PGM,SP_EVT_RATES,ACTIVATION_FEE,CARD_REPLACE_FEE,LATE_FEE,REOPEN_FEE,NO_KEY_VALET_FEE,CAPACITY,MAIN_ENTRANCE_LONG,MAIN_ENTRANCE_LAT,GLOBALID,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
2908,950,Union Square Garage,333 Post Street,Geary between Stockton & Powell,(415) 397-0631,1,Pilot,614031,10628000,G,RPD,N,N,Y,"carpool/carshare rate, motorcycle rate, bike parking, valet parking, ATM",,4,0,4,0,PARCS,Y,,Y,32,32,32,50,32,750,-122.40744795,37.78767892,,POINT (-122.40743 37.787674),19,19,6,3,8
2899,939,Mission Bartlett Garage,3255 21st Street,21st St between Mission & Valencia,(415) 821-6715,4,Pilot,221321,1111000,G,SFMTA,N,N,Y,"carpool/carshare rate, validation, bike parking, valet parking",,2,0,2,0,DataPark,Y,UPDATE WITH NEW VALIDATION PROGRAM,Y,32,32,32,50,32,352,-122.42043356,37.75684004,,POINT (-122.42042 37.756836),53,53,3,2,20
2647,902,California and Steiner Lot,2450 California Street,California between Fillmore & Steiner,,5,Pilot,350242,3558000,L,SFMTA,Y,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,48,-122.43480293,37.7889185,,POINT (-122.43479 37.788914),102,102,4,6,30
2910,892,Pier 1/2 Motorcycle Lot,,The Embarcadero north of Ferry Bldg,,1,-,830012,12553201,L,Port,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,40,-122.39452358,37.79637385,,POINT (-122.39451 37.796368),108,108,6,3,8
2656,911,8th and Irving Lot,1325 08th Avenue,8th Ave between Irving & Judah,,24,-,108131,396000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,41,-122.4654655,37.76352138,,POINT (-122.465454 37.763515),109,109,10,11,14
2884,916,Pierce Street Garage,3252 Pierce Street,Pierce between Lombard & Chestnut,,7,Pilot,607322,10445000,G,SFMTA,N,N,Y,,,0,0,0,0,,-,,-,0,0,0,0,0,116,-122.43928532,37.80004661,,POINT (-122.43927 37.80004),17,17,4,6,13
2887,920,SF General Hospital Lot,993 Potrero Ave,Potrero between 21st St & 22nd St,,29,-,615091,10667101,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,35,-122.4065162,37.75836396,,POINT (-122.4065 37.758358),54,54,3,9,20
2886,919,Felton and San Bruno Lot,25 Felton Street,Felton between San Bruno & Girard,,33,-,416001,5462000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,10,-122.4048064,37.72976445,,POINT (-122.40479 37.72976),91,91,2,2,25
2906,948,St. Marys Square Garage,433 Kearny Street,Kearny between Pine & California,(415) 956-8106,1,Pilot,520041,7754000,G,SFMTA,N,N,Y,"carpool/carshare rate, early bird rate, reduced night/wknd rates, validation, electric vehicle charger, bike parking, valet parking",,3,0,3,0,DataPark,Y,,Y,32,32,32,50,32,414,-122.4045476,37.79199927,,POINT (-122.40453 37.791996),104,104,6,3,8
2912,893,Pier 52 Lot B,601 Terry A Francois Blvd,Terry Francois @ Pier 52,,2,Pilot,869051,12532004,L,Port,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,85,-122.38597,37.76963,,POINT (-122.385956 37.769627),34,34,1,10,4
2652,907,Mission and Norton Lot,20 Norton Street,Norton between Mission & Alemany,,35,-,584002,9714000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,28,-122.4351741,37.72497266,,POINT (-122.43516 37.724968),94,94,9,1,28
2903,944,Polk Bush Garage,1399 Bush Street,Bush between Polk & Larkin,(415) 567-7816,15,-,336131,3443000,G,SFMTA,N,N,Y,"carpool/carshare rate, valet parking",,2,0,2,0,PARCS,Y,,Y,10,25,25,50,25,129,-122.4201006,37.78851674,,POINT (-122.42009 37.788513),50,50,4,3,21
2911,925,7th & Harrison Lot,415 7th Street,7th St between Harrison & Bryant,(415) 558-9052,,Pilot,207042,374000,G,CALTRANS,N,N,Y,"carpool/carshare rate, juror rate, early bird rate, motorcycle rate, valet parking",,1,0,1,0,PARCS,Y,,Y,10,25,25,50,25,193,-122.40563617,37.77534225,,POINT (-122.405624 37.775337),32,32,1,10,34
2888,922,West Portal Lot,174 West Portal Avenue,West Portal between Vicente & 14th Ave,,10,Control,725012,13578201,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,19,-122.4680364,37.73918993,,POINT (-122.468025 37.739185),46,46,10,8,41
2649,904,9th and Clement Lot,330 09th Avenue,9th Ave between Clement & Geary,,9,Control,109032,425000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,21,-122.46750359,37.78215118,,POINT (-122.46749 37.782146),5,5,8,4,11
2907,949,Sutter Stockton Garage,444 Stockton Street,Bush between Stockton & Grant,(415) 982-8370,1,Pilot,664041,12199001,G,SFMTA,N,N,Y,"carpool/carshare rate, motorcycle rate, electric vehicle charger, bike parking, valet parking",,4,0,6,0,DataPark,Y,,Y,32,32,32,50,32,1865,-122.40685562,37.78978292,,POINT (-122.406845 37.78978),19,19,6,3,8
2896,935,Japan Center Garage,1610 Geary Blvd,Geary between Laguna & Webster,(415) 567-4573,5,Pilot,440162,6040201,G,SFMTA,N,N,Y,"carpool/carshare rate, early bird rate, motorcycle rate, validation, electric vehicle charger, bike parking, valet parking, monthly parker shuttle to CPMC, ATM",http://www.sfjapantown.org,2,0,3,0,DataPark,Y,,Y,32,32,32,50,32,747,-122.43016143,37.78492201,,POINT (-122.430145 37.784916),101,101,4,11,15
2897,936,Japan Center Annex Garage,1680 Fillmore St,Fillmore between Geary & Post,(415) 567-4573,5,Pilot,415162,5547000,G,SFMTA,N,N,Y,"carpool/carshare rate, early bird rate, motorcycle rate, validation, electric vehicle charger, bike parking, valet parking, monthly parker shuttle to CPMC, ATM",,1,0,1,0,DataPark,Y,,Y,32,32,32,50,32,176,-122.43286617,37.78495474,,POINT (-122.43285 37.78495),101,101,4,11,15
2893,932,Ellis OFarrell Garage,123 O'Farrell Street,O'Farrell between Powell & Stockton,(415) 986-4800,1,Pilot,593011,9722000,G,SFMTA,N,N,Y,"carpool/carshare rate, motorcycle rate, reduced night/wknd rates, electric vehicle charger, bike parking, valet parking, ATM",http://www.eofgarage.com,3,0,4,0,PARCS,Y,,Y,38,38,38,60,38,530,-122.40715406,37.78639255,,POINT (-122.40714 37.78639),19,19,6,3,8
2885,918,24th and Noe Lot,4061 24th Street,24th St between Noe & Castro,,28,-,224401,1362000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,17,-122.4331622,37.75115308,,POINT (-122.43315 37.75115),84,84,3,5,22
2645,891,Pier 52 Lot,601 Terry A Francois Blvd,Terry Francois @ Pier 52,,2,Pilot,869051,12532004,L,Port,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,54,-122.3859909,37.77018217,,POINT (-122.38598 37.770176),34,34,1,10,4
2646,901,24th and Capp Lot,3255 24th Street,Lilac @ 24th St,,29,-,798001,8331000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,20,-122.4175067,37.75208935,,POINT (-122.417496 37.752083),53,53,3,2,20
2894,933,Fifth and Mission Garage,833 Mission Street,Mission between 5th and 4th Streets,(415) 982-8522,1,Pilot,568081,9096000,G,SFMTA,N,N,Y,"carpool/carshare rate, motorcycle rate, electric vehicle charger, bike parking, valet parking, ATM",http://www.fifthandmission.com,6,1,8,1,DataPark,Y,,Y,32,32,32,50,32,2585,-122.40553756,37.78327767,,POINT (-122.405525 37.78327),32,32,1,10,34
2904,945,Portsmouth Square Garage,733 Kearny Street,Kearny between Clay & Washington,(415) 982-6353,1,Pilot,520071,7758000,G,SFMTA,N,N,Y,"carpool/carshare rate, validation, electric vehicle charger, bike parking, valet parking",,2,0,3,0,PARCS,Y,$6 Off ($3.00) - 1 stamp limit,Y,10,25,25,50,25,504,-122.40503873,37.79486555,,POINT (-122.40503 37.79486),104,104,6,3,6
2651,906,18th and Collingwood Lot,4116 18th Street,18th between Castro & Collingwood,,16,-,218412,892000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,28,-122.4358415,37.76111138,,POINT (-122.43583 37.761105),38,38,3,5,5
2889,923,Claremont and Ulloa Lot,807 Ulloa,Ulloa between Claremont & West Portal,,10,Control,690081,12784000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,23,-122.4651654,37.74043876,,POINT (-122.46515 37.740433),46,46,10,8,41
2883,915,19th and Ocean Lot,3000 19th Avenue,Ocean between Lagunitas & 19th Ave,,31,-,591261,9849000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,20,-122.4746489,37.73239756,,POINT (-122.47463 37.73239),62,62,10,8,41
2653,908,21st and Geary Lot,5732 Geary Blvd,Geary between 21st Ave & 22nd Ave,,21,-,440572,6078201,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,21,-122.4808482,37.78054149,,POINT (-122.480835 37.780537),8,8,8,4,29
2654,909,18th and Geary Lot,421 18th Avenue,18th Ave between Geary & Anza,,21,-,118041,830000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,34,-122.4774621,37.77991856,,POINT (-122.47745 37.779915),5,5,8,4,29
2895,934,Golden Gateway Garage,250 Clay Street,Clay between Front & Davis,(415) 433-4722,1,Pilot,359022,4081000,G,SFMTA,N,N,Y,"carpool/carshare rate, early bird rate, motorcycle rate, reduced night rate, electric vehicle charger, bike parking, valet parking",http://www.chinatownparkandride.com,3,1,4,0,DataPark,Y,,Y,32,32,32,50,32,1053,-122.3986032,37.79544154,,POINT (-122.39859 37.795437),108,108,6,3,8
