X,Y,ID,FacilityID,LotName,Community,CD,Address,City,State,Zipcode,Lat,Lon,ConvenientTo,Entrance,Operator,Type,Phone,Hours,HourlyCost,DailyCost,MonthlyCost,SpecialFeatures,Spaces,Status,TOOLTIP,NLA_URL
-118.29067613145,33.9581368757799,263,623,88th & Menlo Parking Lot,Vermont Vista,8,8707 Menlo Ave,Los Angeles,CA,90044-4813,33.958132,-118.290664,"Manchester Square, Youth & community center & shops ",W 88th St east of S Vermont Ave,,Free,311,8am-6pm Mon-Sat,Free,Free,N/A,"2 hrs max time limit; no overnight parking 10pm-6am nightly",77,Operational,"88th & Menlo Parking Lot\n8707 Menlo Ave, Los Angeles CA 90044-4813",navigatela/reports/dot_city_parking_lots.cfm?pk=263
-118.537245192165,34.2016858890776,264,624,Baird & Sherman Way Parking Lot,Reseda,3,7222 Baird Ave,Reseda,CA,91335,34.201681,-118.537233,Shops,Baird Ave north of Sherman Way,,Free,311,8am-6pm Mon-Sat,Free,Free,N/A,"10 hrs max time limit; no overnight parking 12am-6am nightly",78,Operational,"Baird & Sherman Way Parking Lot\n7222 Baird Ave, Reseda CA 91335",navigatela/reports/dot_city_parking_lots.cfm?pk=264
-118.332001142465,34.0058678792591,265,625,43rd & Crenshaw Parking Lot,Leimert Park,8,3416 W 43rd St,Leimert Park,CA,90008-4906,34.005863,-118.331989,"Vision Theatre, restaurants & shops",43rd St east of Crenshaw Blvd,,Metered,311,7am-9pm Daily,$0.50,$2.50,$25.00,"10 hrs max time limit, no overnight parking 12am-6am nightly",172,Operational,"43rd & Crenshaw Parking Lot\n3416 W 43rd St, Leimert Park CA 90008-4906",navigatela/reports/dot_city_parking_lots.cfm?pk=265
-118.33039914183,34.0057968794333,266,626,43rd & Leimert Parking Lot,Leimert Park,8,3328 W 43rd St,Leimert Park,CA,90008-4570,34.005792,-118.330387,"Vision Theatre, restaurants & shops",43rd St west of Leimert Blvd,,Metered,311,7am-9pm Daily,$0.50,$2.50,$25.00,"10 hrs max time limit, no overnight parking 2am-6am nightly",105,Operational,"43rd & Leimert Parking Lot\n3328 W 43rd St, Leimert Park CA 90008-4570",navigatela/reports/dot_city_parking_lots.cfm?pk=266
-118.375621161957,34.1650418942621,267,627,Magnolia & Lankershim Parking Lot,North Hollywood,4,11231 Magnolia Blvd,North Hollywood,CA,91601-3703,34.165037,-118.375609,"NOHO Art District, Greyhound bus station & shops",Magnolia Blvd west of Lankershim Blvd, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$0.50,$2.50,N/A,10 hrs max time limit,47,Operational,"Magnolia & Lankershim Parking Lot\n11231 Magnolia Blvd, North Hollywood CA 91601-3703",navigatela/reports/dot_city_parking_lots.cfm?pk=267
-118.215476127865,34.0739468930634,268,628,Daly & Ave 26 Parking Lot,Lincoln Heights,1,2418 Daly St,Lincoln Heights,CA,90031-2221,34.073942,-118.215464,Shops,Daly St north of N Broadway, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$0.50,$1.00/2 hrs,$30.00,2 hrs max time limit,28,Operational,"Daly & Ave 26 Parking Lot\n2418 Daly St, Lincoln Heights CA 90031-2221",navigatela/reports/dot_city_parking_lots.cfm?pk=268
-118.451412173658,34.1504888889114,269,629,Cedros & Dickens Parking Garage,Sherman Oaks,5,14591 Dickens St,Sherman Oaks,CA,91403-3765,34.150484,-118.4514,"Sherman Oaks Village, restaurants & shops",Cedros Ave south of Ventura Blvd,by General Services Dept,Operated,213-473-5556,7am-11:30pm Daily,$1.50,$4.50,$38.50,"First 20 min free with validation; max height clearance 8 feet 4 inches on level 1, 7 feet 2 inches on level 2",198,Operational,"Cedros & Dickens Parking Garage\n14591 Dickens St, Sherman Oaks CA 91403-3765",navigatela/reports/dot_city_parking_lots.cfm?pk=269
-118.449280176211,34.1837418923009,270,630,Erwin & Van Nuys Parking Lot,Van Nuys,6,14517 Erwin St,Van Nuys,CA,91411-2341,34.183737,-118.449268,San Fernando Valley Civic Center & shops,Erwin St west of Van Nuys Blvd,by General Services Dept,Operated,213-473-5556,7am-5:30pm Mon-Fri,$1.10,$5.00,$49.50,$3.00 flat rate after 2pm,75,Operational,"Erwin & Van Nuys Parking Lot\n14517 Erwin St, Van Nuys CA 91411-2341",navigatela/reports/dot_city_parking_lots.cfm?pk=270
-118.44671517626,34.1874678925464,271,631,Gilmore & Sylmar Parking Lot,Van Nuys,6,14402 Gilmore St,Van Nuys,CA,91401-1429,34.187463,-118.446703,San Fernando Valley Civic Center & shops,Gilmore St east of Van Nuys Blvd,by General Services Dept,Operated,213-473-5556,8am-5pm Mon-Fri,$1.10,$5.00,$38.50,$2.00 flat rate after 2pm,68,Operational,"Gilmore & Sylmar Parking Lot\n14402 Gilmore St, Van Nuys CA 91401-1429",navigatela/reports/dot_city_parking_lots.cfm?pk=271
-118.329577140643,33.9940748774215,272,632,11th & 52nd Parking Lot,Hyde Park,8,5345 11th Ave,Los Angeles,CA,90043-4817,33.99407,-118.329565,Restaurants & shops,11th Ave north of W 54th St,,Free,311,8am-6pm Mon-Sat,Free,Free,N/A,"10 hrs max time limit; no overnight parking 7pm-7am nightly",29,Operational,"11th & 52nd Parking Lot\n5345 11th Ave, Los Angeles CA 90043-4817",navigatela/reports/dot_city_parking_lots.cfm?pk=272
-118.329577140941,33.9929228772924,273,633,11th & 54th Parking Lot,Hyde Park,8,5407 11th Ave,Los Angeles,CA,90043-2511,33.992918,-118.329565,Restaurants & shops,11th Ave south of W 54th St,,Free,311,8am-6pm Mon-Sat,Free,Free,N/A,"2 hrs max time limit; no overnight parking 7pm-7am nightly",32,Operational,"11th & 54th Parking Lot\n5407 11th Ave, Los Angeles CA 90043-2511",navigatela/reports/dot_city_parking_lots.cfm?pk=273
-118.329577140533,33.9907508773746,274,634,11th & 57th Parking Lot,Hyde Park,8,5701 11th Ave,Los Angeles,CA,90043-2501,33.990746,-118.329565,"Post Office, restaurants & shops",11th Ave south of W 57th St,,Free,311,8am-6pm Mon-Sat,Free,Free,$25.00,"2 hrs max time limit; no overnight parking 7pm-7am nightly",35,Operational,"11th & 57th Parking Lot\n5701 11th Ave, Los Angeles CA 90043-2501",navigatela/reports/dot_city_parking_lots.cfm?pk=274
-118.19456012693,34.1091188978595,275,635,Ave 56 & Marmion Parking Lot,Highland Park,1,119 N Avenue 56,Highland Park,CA,90042-4116,34.109114,-118.194548,"Metro Gold Line Station, restaurants & shops",(1) N Avenue 56 northwest of N Figueroa St<br />(2) N Avenue 57 northwest of N Figueroa St,,Metered & Free,311,7am-9pm Daily,$0.50,$2.50,N/A,"10 hrs max time limit; free parking with 2 hrs max time limit",84,Operational,"Ave 56 & Marmion Parking Lot\n119 N Avenue 56, Highland Park CA 90042-4116",navigatela/reports/dot_city_parking_lots.cfm?pk=275
-118.193196127222,34.1105018981852,276,636,Ave 58 & Marmion Parking Lot,Highland Park,1,5712 E Marmion Wy,Highland Park,CA,90042-4206,34.110497,-118.193184,"Metro Gold Line Station, restaurants & shops",N Avenue 57 & N Avenue 58 via alley northwest of N Figueroa St,,Metered & Free,311,7am-9pm Daily,$0.50,$2.50,N/A,"10 hrs max time limit; free parking with 2 hrs max time limit",62,Operational,"Ave 58 & Marmion Parking Lot\n5712 E Marmion Wy, Highland Park CA 90042-4206",navigatela/reports/dot_city_parking_lots.cfm?pk=276
-118.190888126924,34.1109588989506,277,637,Marmion & Ave 59 Parking Lot,Highland Park,1,124 N Avenue 59,Highland Park,CA,90042-4208,34.110954,-118.190876,"Metro Gold Line Station, restaurants & shops",Marmion Way southwest of N Avenue 59,,Metered & Free,311,7am-9pm Daily,$0.50,$2.50,N/A,"10 hrs max time limit; free parking with 2 hrs max time limit",36,Operational,"Marmion & Ave 59 Parking Lot\n124 N Avenue 59, Highland Park CA 90042-4208",navigatela/reports/dot_city_parking_lots.cfm?pk=277
-118.191637126491,34.1097148989053,278,638,Ave 58 & Figueroa West Parking Lot,Highland Park,1,120 S Avenue 58,Highland Park,CA,90042-4704,34.10971,-118.191625,"Metro Gold Line Station, restaurants & shops",(1) S Avenue 58 southeast of N Figueroa St<br />(2) S Avenue 57 southeast of N Figueroa St,,Metered,311,7am-9pm Daily,$0.50,$2.50,N/A,10 hrs max time limit,28,Operational,"Ave 58 & Figueroa West Parking Lot\n120 S Avenue 58, Highland Park CA 90042-4704",navigatela/reports/dot_city_parking_lots.cfm?pk=278
-118.19356612727,34.1086518980933,279,639,Roselawn & Figueroa Parking Lot,Highland Park,1,116 S Avenue 56,Highland Park,CA,90042-4608,34.108647,-118.193554,Restaurants & shops,(1) S Avenue 56 southeast of N Figueroa St<br />(2) Roselawn Pl southeast of N Figueroa St,,Metered & Free,311,7am-9pm Daily,$0.50,$2.50,$60.00,"10 hrs max time limit; free parking with 2 hrs max time limit",46,Operational,"Roselawn & Figueroa Parking Lot\n116 S Avenue 56, Highland Park CA 90042-4608",navigatela/reports/dot_city_parking_lots.cfm?pk=279
-118.533345191969,34.1999048892473,280,640,Darby & Sherman Way Parking Lot,Reseda,3,7130 Darby Ave,Reseda,CA,91335,34.1999,-118.533333,Shops,Darby Ave south of Sherman Way,,Free,311,24 hours Daily,Free,Free,N/A,10 hrs max time limit,46,Operational,"Darby & Sherman Way Parking Lot\n7130 Darby Ave, Reseda CA 91335",navigatela/reports/dot_city_parking_lots.cfm?pk=280
-118.28708511266,33.7361418513473,281,641,9th & Pacific Parking Lot,San Pedro,15,462 W 9th St,San Pedro,CA,90731,33.736137,-118.287073,"Hope Chapel, restaurants & shops",(1) W 8th St east of S Pacific Ave<br />(2) W 9th St east of S Pacific Ave,,Free,311,8am-6pm Mon-Sat,Free,Free,$30.00,2am-6am overnight parking by monthly permit only,102,Operational,"9th & Pacific Parking Lot\n462 W 9th St, San Pedro CA 90731",navigatela/reports/dot_city_parking_lots.cfm?pk=281
-118.382872154654,34.0539918812688,282,642,Wooster & Pico Parking Garage,Crestview,5,1421 S Wooster St,Los Angeles,CA,90035-3406,34.053987,-118.38286,Shops,S Wooster St south of Pico Blvd, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$0.50,$2.50,N/A,"10 hrs max time limit; max height clearance 7 feet 6 inches",50,Operational,"Wooster & Pico Parking Garage\n1421 S Wooster St, Los Angeles CA 90035-3406",navigatela/reports/dot_city_parking_lots.cfm?pk=282
-118.25793713493,34.0761988914053,283,643,Echo Park & Sunset Parking Lot,Echo Park,13,1147 Echo Park Ave,Echo Park,CA,90026-4212,34.076194,-118.257925,"Echo Park, restaurants & shops",Echo Park Ave south of Sunset Blvd, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$0.50,$2.50,N/A,14 hrs max time limit,43,Operational,"Echo Park & Sunset Parking Lot\n1147 Echo Park Ave, Echo Park CA 90026-4212",navigatela/reports/dot_city_parking_lots.cfm?pk=283
-118.600477202755,34.2015188858624,284,644,Remmet & Wyandotte Parking Lot,Canoga Park,3,7219 Remmet Ave,Canoga Park,CA,91303-1532,34.201514,-118.600465,Canoga Park Youth Art Center & shops,Remmet Ave north of Sherman Way,,Metered,311,7am-9pm Daily,$0.50,$2.50,N/A,10 hrs max time limit,18,Operational,"Remmet & Wyandotte Parking Lot\n7219 Remmet Ave, Canoga Park CA 91303-1532",navigatela/reports/dot_city_parking_lots.cfm?pk=284
-118.45133616524,34.0467028771062,285,645,Purdue & Santa Monica Parking Lot,West Los Angeles,11,1540 Purdue Ave,Los Angeles,CA,90025-3105,34.046698,-118.451324,"Entertainment, restaurants & shops",Purdue Ave north of Santa Monica Blvd, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$1.00,$4.00/4 hrs,N/A,4 hrs max time limit,37,Operational,"Purdue & Santa Monica Parking Lot\n1540 Purdue Ave, Los Angeles CA 90025-3105",navigatela/reports/dot_city_parking_lots.cfm?pk=285
-118.259634138269,34.1172608955743,286,646,Larga & Glendale Parking Lot,Atwater Village ,13,3528 Larga Ave,Los Angeles,CA,90039-1926,34.117256,-118.259622,Restaurants & shops,Larga Ave south of Glendale Blvd,,Free,311,8am-6pm Mon-Sat,Free,Free,N/A,"10 hrs max time limit; no overnight parking 2am-6am nightly",38,Operational,"Larga & Glendale Parking Lot\n3528 Larga Ave, Los Angeles CA 90039-1926",navigatela/reports/dot_city_parking_lots.cfm?pk=286
-118.287299112935,33.7371418510374,287,647,8th & Pacific Parking Lot,San Pedro,15,474 W 8th St,San Pedro,CA,90731,33.737137,-118.287287,Restaurants & shops,W 8th St east of S Pacific Ave,,Free,311,8am-6pm Mon-Sat,Free,Free,$30.00,No overnight parking 2am-6am nightly,41,Operational,"8th & Pacific Parking Lot\n474 W 8th St, San Pedro CA 90731",navigatela/reports/dot_city_parking_lots.cfm?pk=287
-118.332677149224,34.0986508894164,288,649,Schrader & Sunset Parking Lot,Hollywood,13,1533 N Schrader Blvd,Hollywood,CA,90028-7203,34.098646,-118.332665,"Hollywood YMCA, entertainment & shops",N Schrader Blvd north of Sunset Blvd,"by Parking Concepts, Inc",Operated,323-957-9211,"4pm-12:30am Mon-Fri, 8am-12:30am Sat-Sun",$9.00 flat,$9.00,$125.00,"Monthly 6am-8pm Daily; $2.50 per hour with YMCA validation Mon-Fri 6am-10:30am ",55,Operational,"Schrader & Sunset Parking Lot\n1533 N Schrader Blvd, Hollywood CA 90028-7203",navigatela/reports/dot_city_parking_lots.cfm?pk=288
-118.263778112938,33.7816548572207,289,650,Marine & Anaheim Parking Lot,Wilmington,15,928 Marine Ave,Wilmington,CA,90744-4415,33.78165,-118.263766,Shops,Marine Ave south of W Opp St,,Free,311,8am-6pm Mon-Sat,Free,Free,N/A,2 hrs max time limit,40,Operational,"Marine & Anaheim Parking Lot\n928 Marine Ave, Wilmington CA 90744-4415",navigatela/reports/dot_city_parking_lots.cfm?pk=289
-118.455202165757,34.0446578767002,290,651,Barry & Santa Monica Parking Lot,West Los Angeles,11,1516 Barry Ave,Los Angeles,CA,90025-2904,34.044653,-118.45519,"Entertainment, restaurants & shops",Barry Ave north of Santa Monica Blvd, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$1.00,$4.00/10 hrs,N/A,10 hrs max time limit,20,Operational,"Barry & Santa Monica Parking Lot\n1516 Barry Ave, Los Angeles CA 90025-2904",navigatela/reports/dot_city_parking_lots.cfm?pk=290
-118.45243516509,34.0463758765179,291,652,Butler & Santa Monica Parking Lot,West Los Angeles,11,1530 Butler Ave,Los Angeles,CA,90025-3002,34.046371,-118.452423,West LA Civic Center & shops,Butler Ave north of Santa Monica Blvd,,Metered,311,7am-9pm Daily,$1.00,$4.00/4 hrs,N/A,4 hrs max time limit,43,Operational,"Butler & Santa Monica Parking Lot\n1530 Butler Ave, Los Angeles CA 90025-3002",navigatela/reports/dot_city_parking_lots.cfm?pk=291
-118.450180165592,34.0466738769336,292,653,Corinth & Santa Monica Parking Lot,West Los Angeles,11,1547 Corinth Ave,Los Angeles,CA,90025-3201,34.046669,-118.450168,West LA Civic Center & shops,Corinth Ave north of Santa Monica Blvd, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$1.00,$4.00/10 hrs,$50.00,10 hrs max time limit,38,Operational,"Corinth & Santa Monica Parking Lot\n1547 Corinth Ave, Los Angeles CA 90025-3201",navigatela/reports/dot_city_parking_lots.cfm?pk=292
-118.447979165422,34.047437876871,293,654,Beloit & Santa Monica Parking Lot,West Los Angeles,11,1611 Beloit Ave,Los Angeles,CA,90025-3106,34.047433,-118.447967,"Entertainment, restaurants & shops",Beloit Ave north of Santa Monica Blvd,,Metered,311,7am-9pm Daily,$1.00,$4.00/10 hrs,$40.00,10 hrs max time limit,20,Operational,"Beloit & Santa Monica Parking Lot\n1611 Beloit Ave, Los Angeles CA 90025-3106",navigatela/reports/dot_city_parking_lots.cfm?pk=293
-118.448136164688,34.0457608772102,294,655,Idaho & Sawtelle Parking Lot,West Los Angeles,11,11312 Idaho Ave,Los Angeles,CA,90025-3108,34.045756,-118.448124,Restaurants & shops,Idaho Ave west of Sawtelle Blvd, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$1.00,$4.00/4 hrs,N/A,"4 hrs max time limit, no overnight parking",17,Operational,"Idaho & Sawtelle Parking Lot\n11312 Idaho Ave, Los Angeles CA 90025-3108",navigatela/reports/dot_city_parking_lots.cfm?pk=294
-118.452782165437,34.0446578769737,295,656,Colby & Santa Monica Parking Lot,West Los Angeles,11,1615 Colby Ave,Los Angeles,CA,90025-3013,34.044653,-118.45277,"Entertainment, restaurants & shops",Colby Ave south of Santa Monica Blvd, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$1.00,$4.00/4 hrs,N/A,4 hrs max time limit,34,Operational,"Colby & Santa Monica Parking Lot\n1615 Colby Ave, Los Angeles CA 90025-3013",navigatela/reports/dot_city_parking_lots.cfm?pk=295
-118.217443127758,34.0732898931316,296,657,Ave 22 & Broadway Parking Lot,Lincoln Heights,1,221 Avenue 22,Lincoln Heights,CA,90031-2206,34.073285,-118.217431,Restaurants & shops,Ave 22 south of N Broadway,,Free,311,8am-6pm Mon-Sat,Free,Free,N/A,10 hrs max time limit,40,Operational,"Ave 22 & Broadway Parking Lot\n221 Avenue 22, Lincoln Heights CA 90031-2206",navigatela/reports/dot_city_parking_lots.cfm?pk=296
-118.21713512808,34.0730218930168,297,658,Ave 24 & Broadway Parking Lot,Lincoln Heights,1,216 Avenue 24,Lincoln Heights,CA,90031-2210,34.073017,-118.217123,Restaurants & shops,Ave 24 south of N Broadway,,Metered,311,7am-9pm Daily,$0.50,$1.00/2 hrs,$60.00,2 hrs max time limit,60,Operational,"Ave 24 & Broadway Parking Lot\n216 Avenue 24, Lincoln Heights CA 90031-2210",navigatela/reports/dot_city_parking_lots.cfm?pk=297
-118.215445127674,34.0725338934205,298,659,Daly & Broadway Parking Lot,Lincoln Heights,1,2334 Daly St,Lincoln Heights,CA,90031-2263,34.072529,-118.215433,Restaurants & shops,Daly St south of N Broadway, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$0.50,$2.50,N/A,10 hrs max time limit,79,Operational,"Daly & Broadway Parking Lot\n2334 Daly St, Lincoln Heights CA 90031-2263",navigatela/reports/dot_city_parking_lots.cfm?pk=298
-118.21717712785,34.0743678933336,299,660,Ave 24 & Pasadena Parking Lot,Lincoln Heights,1,154 Ave 24,Lincoln Heights,CA,90031-2256,34.074363,-118.217165,Restaurants & shops,Ave 24 north of N Broadway, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$0.50,$2.50,$30.00,10 hrs max time limit,51,Operational,"Ave 24 & Pasadena Parking Lot\n154 Ave 24, Lincoln Heights CA 90031-2256",navigatela/reports/dot_city_parking_lots.cfm?pk=299
-118.214245127493,34.0740478930885,300,661,Workman & Ave 26 Parking Lot,Lincoln Heights,1,2416 Workman St,Lincoln Heights,CA,90031-2320,34.074043,-118.214233,Restaurants & shops,Workman St north of N Broadway,,Free,311,8am-6pm Mon-Sat,Free,Free,N/A,10 hrs max time limit,46,Operational,"Workman & Ave 26 Parking Lot\n2416 Workman St, Lincoln Heights CA 90031-2320",navigatela/reports/dot_city_parking_lots.cfm?pk=300
-118.259444135193,34.0768388914119,301,662,Lemoyne & Sunset Parking Lot,Echo Park,13,1152 Lemoyne St,Echo Park,CA,90026-3207,34.076834,-118.259432,"Echo Park, restaurants & shops",(1) Lemoyne St south of Sunset Blvd<br />(2) Logan St south of Sunset Blvd , - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Mon-Sat,$0.50,$2.50,$30.00,14 hrs max time limit,82,Operational,"Lemoyne & Sunset Parking Lot\n1152 Lemoyne St, Echo Park CA 90026-3207",navigatela/reports/dot_city_parking_lots.cfm?pk=301
-118.25858613528,34.0764838906075,302,663,Logan & Sunset Parking Lot,Echo Park,13,1146 Logan St,Echo Park,CA,90026-3211,34.076479,-118.258574,"Echo Park, restaurants & shops",Logan St south of Sunset Blvd , - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$0.50,$2.50,N/A,"14 hrs max time limit; no parking Fri 2pm-9pm (Farmers Market)",38,Operational,"Logan & Sunset Parking Lot\n1146 Logan St, Echo Park CA 90026-3211",navigatela/reports/dot_city_parking_lots.cfm?pk=302
-118.176860121587,34.0858728966526,303,664,Navarro & Eastern Parking Lot,El Sereno,14,4883 Navarro St,El Sereno,CA,90032-2228,34.085868,-118.176848,Restaurants & shops,Navarro St east of Eastern Ave,,Free,311,24 hours Daily,Free,Free,N/A,2 hrs max time limit,30,Operational,"Navarro & Eastern Parking Lot\n4883 Navarro St, El Sereno CA 90032-2228",navigatela/reports/dot_city_parking_lots.cfm?pk=303
